Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00042607, 0.000148278, 0.000275663, 9.4663e-05, 1163, 710, 3942
0.000292771, 0.000107984, 0.000179845, 5.8111e-05, 1144, 649, 3510
0.000290945, 0.000117072, 0.000172712, 5.8386e-05, 1157, 699, 3375
0.00339551, 0.000131185, 0.000202171, 0.000110317, 1128, 647, 4023
0.000312613, 0.000122145, 0.000189041, 6.3772e-05, 1097, 680, 3267
0.000511483, 0.000204196, 0.000304035, 9.5123e-05, 1105, 645, 2916
0.000234608, 9.4682e-05, 0.000138571, 4.2593e-05, 1057, 660, 2835
0.0026364, 0.000125525, 0.000196522, 9.5108e-05, 1027, 612, 4455
0.000489862, 0.000189915, 0.0002974, 0.000104867, 1027, 678, 3159
0.000349513, 0.000134065, 0.000212591, 7.6548e-05, 1033, 640, 3267
0.000303919, 0.000117334, 0.000183041, 5.9114e-05, 1040, 672, 2727
0.000179078, 6.3024e-05, 0.000114762, 3.6524e-05, 1036, 660, 2997
0.00048477, 0.000201904, 0.000280575, 9.5429e-05, 1045, 679, 2673
0.00372356, 0.00010264, 0.000183775, 0.000105419, 1035, 666, 4590
0.000269834, 9.1499e-05, 0.000177137, 7.4598e-05, 1013, 656, 3591
0.00045907, 0.000179837, 0.000276633, 9.99e-05, 1038, 631, 3024
0.000499844, 0.000186935, 0.000310361, 0.000108441, 1065, 682, 3186
0.000564216, 0.000166001, 0.000395605, 0.000145112, 1059, 684, 4941
0.000267057, 7.9667e-05, 0.000184931, 6.6573e-05, 1077, 710, 5076
0.00269532, 9.0659e-05, 0.000165862, 9.0723e-05, 1080, 755, 5346
0.000518714, 0.000186424, 0.000329175, 9.4176e-05, 1067, 712, 3618
0.00049165, 0.000171922, 0.00031707, 8.8798e-05, 1031, 711, 2862
0.000232667, 8.5071e-05, 0.000145994, 4.6225e-05, 1004, 687, 3078
0.000181099, 7.3541e-05, 0.000103566, 3.3031e-05, 964, 645, 2727
0.0115905, 7.0793e-05, 0.000120989, 8.7006e-05, 984, 669, 4617
0.000336596, 0.000120671, 0.000213723, 6.8222e-05, 952, 622, 2997
0.000422414, 0.000181988, 0.000237792, 7.7906e-05, 955, 605, 2160
0.00041128, 0.000154626, 0.000254413, 8.6964e-05, 961, 593, 2835
0.000355303, 0.000126468, 0.000224938, 7.8458e-05, 956, 617, 3240
0.000260468, 0.000117642, 0.000137825, 4.4207e-05, 977, 586, 2754
0.000255434, 9.7935e-05, 0.000155285, 5.3722e-05, 970, 627, 3294
0.000139482, 5.6217e-05, 8.1702e-05, 2.4236e-05, 998, 567, 2160
0.000303968, 0.000124455, 0.000177979, 5.9474e-05, 999, 619, 2322
0.0113258, 0.000114714, 0.000110119, 9.826e-05, 1004, 576, 3753
0.000255199, 0.000107552, 0.000145762, 4.8212e-05, 1012, 650, 3051
0.000174335, 6.1368e-05, 0.000110751, 3.7391e-05, 1016, 600, 3186
0.000333723, 0.000118999, 0.000211705, 6.8428e-05, 1009, 661, 2781
0.000195045, 9.0651e-05, 0.000100553, 3.14e-05, 1000, 555, 2079
0.000393006, 0.000177643, 0.000212993, 7.269e-05, 1029, 646, 2322
0.000195543, 7.6771e-05, 0.000115579, 3.5937e-05, 1058, 629, 3078
0.000240275, 9.5389e-05, 0.000143542, 4.3004e-05, 1075, 679, 2808
0.000327719, 0.000136478, 0.000189544, 5.7135e-05, 1122, 666, 2727
0.000290543, 0.000100778, 0.00018812, 6.5401e-05, 1077, 660, 4185
0.000301327, 0.000116247, 0.000182742, 6.0688e-05, 1053, 591, 2808
0.00289211, 9.6515e-05, 0.000141249, 8.6331e-05, 1011, 643, 4266
0.000475514, 0.000163384, 0.000310134, 0.000129888, 986, 567, 4077
0.00033386, 0.000101217, 0.000230872, 9.1158e-05, 967, 619, 5049
0.000367433, 0.000124811, 0.000241061, 0.000100406, 1020, 661, 5265
0.000192192, 6.1856e-05, 0.000129248, 4.1506e-05, 1021, 650, 3753
0.000439318, 0.000177053, 0.000259778, 9.9069e-05, 1012, 647, 3753
0.000415643, 0.000165032, 0.00024466, 9.0345e-05, 1018, 610, 2754
0.00039155, 0.000172317, 0.000216534, 6.8455e-05, 1030, 611, 1971
0.000438058, 0.000194983, 0.000240502, 8.4702e-05, 1046, 649, 2268
0.000285567, 0.000120891, 0.000159093, 5.1376e-05, 1031, 636, 2079
0.000411394, 0.000183247, 0.000226071, 7.6038e-05, 1066, 665, 2646
0.000166035, 6.4768e-05, 9.7997e-05, 2.8638e-05, 1091, 676, 2943
0.000302153, 0.000109872, 0.000191228, 7.2901e-05, 1079, 672, 4779
0.000187248, 7.1465e-05, 0.00011456, 3.9441e-05, 1073, 666, 3132
0.00028626, 0.000133708, 0.000150713, 4.808e-05, 1039, 645, 1782
0.000212337, 6.044e-05, 0.000150006, 5.4263e-05, 1019, 639, 4833
0.000411605, 0.000118088, 0.000291368, 0.000108477, 1070, 689, 5292
0.000547834, 0.000188307, 0.00035654, 0.00013681, 1053, 668, 4347
0.000452016, 0.000195208, 0.00025396, 8.5528e-05, 1030, 669, 2241
0.000140318, 6.7404e-05, 7.1143e-05, 2.0416e-05, 1041, 656, 1647
0.00019853, 0.000106362, 9.1016e-05, 2.2933e-05, 1023, 632, 1620
0.000189873, 9.5231e-05, 9.3321e-05, 2.7663e-05, 1024, 633, 1566
0.000250459, 0.000127726, 0.000120238, 3.5138e-05, 1031, 647, 1674
0.000397238, 0.000189268, 0.000205318, 6.4009e-05, 1033, 647, 1728
0.000201712, 9.6762e-05, 0.000103663, 2.9975e-05, 1013, 635, 1593
0.000143904, 7.2107e-05, 6.5666e-05, 1.811e-05, 1026, 617, 1404
0.000309127, 0.000164756, 0.000142276, 3.6035e-05, 1015, 629, 1107
0.000345888, 0.000174976, 0.000168243, 4.6533e-05, 1033, 595, 1269
0.000200956, 9.033e-05, 0.00010895, 3.5866e-05, 1028, 648, 1242
0.000210348, 0.000112276, 9.6897e-05, 2.5126e-05, 1031, 582, 1161
0.000179326, 9.5679e-05, 8.2254e-05, 1.8492e-05, 1026, 649, 999
0.000330885, 0.000167721, 0.0001607, 3.8897e-05, 1052, 604, 1188
0.000244344, 0.000138432, 0.000100655, 2.2718e-05, 1025, 645, 810
0.000217882, 0.000112585, 0.000100995, 2.7755e-05, 1029, 582, 1188
0.000336351, 0.000173326, 0.000160563, 3.9e-05, 1029, 663, 1107
0.000384477, 0.000194161, 0.000187744, 4.6178e-05, 1058, 619, 1107
0.000260329, 0.000138993, 0.000118451, 3.0295e-05, 1022, 644, 1080
0.000142117, 8.3392e-05, 5.5214e-05, 1.5631e-05, 1030, 600, 1026
0.000175649, 9.2411e-05, 8.1587e-05, 1.8226e-05, 1028, 644, 945
0.000302522, 0.000159205, 0.000140548, 3.8727e-05, 1049, 638, 864
0.000326765, 0.000174533, 0.000149782, 3.4375e-05, 1038, 658, 972
0.000251048, 0.000125193, 0.000123506, 3.5735e-05, 1032, 622, 1350
0.00034483, 0.000185366, 0.000157103, 3.6644e-05, 1029, 635, 1026
0.000315181, 0.000173613, 0.000139553, 3.2322e-05, 1044, 645, 891
0.000340141, 0.000182329, 0.000155537, 3.5596e-05, 1045, 660, 891
0.000168913, 8.4809e-05, 7.9987e-05, 1.6768e-05, 1023, 625, 891
0.000163484, 9.1064e-05, 7.0983e-05, 1.2887e-05, 1020, 630, 729
0.000337724, 0.00019932, 0.000135199, 2.3713e-05, 1045, 662, 648
0.000122849, 6.3396e-05, 5.8049e-05, 1.2998e-05, 1051, 653, 783
0.000331358, 0.00018394, 0.000144883, 3.0897e-05, 1032, 625, 729
0.000204349, 9.3448e-05, 0.000109619, 3.1612e-05, 1030, 613, 1836
0.00030182, 0.000141358, 0.000158518, 5.0905e-05, 1050, 651, 1944
0.00017889, 7.2302e-05, 0.000103763, 3.1206e-05, 1076, 671, 1917
0.000390641, 0.000174357, 0.000213926, 6.6598e-05, 1073, 671, 1890
0.000320359, 0.000147123, 0.000170961, 5.2704e-05, 1068, 658, 1944
0.000248177, 0.000111845, 0.000134135, 3.2877e-05, 1089, 686, 1863
0.00024192, 0.00011238, 0.000128185, 3.6926e-05, 1116, 682, 2079
0.000474623, 0.000202132, 0.000269786, 8.5313e-05, 1123, 692, 2592
0.000388256, 0.000143627, 0.000243045, 8.6612e-05, 1114, 674, 3699
0.000310099, 0.00011506, 0.000193498, 6.7318e-05, 1136, 682, 3159
0.000244854, 0.000103391, 0.000139522, 4.3341e-05, 1135, 673, 2565
