time,posi_x,posi_y,posi_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_rate,backup
6.280007839202881,3.549999939418411,-0.850000061922824,1.549999964816191,-0.000012099715981,-0.000012364713251,-0.000007021775632,-0.001807085334767,-0.001845939469400,-0.001047357437070,-0.178578932581230,-0.182273294692290,-0.103232210257004,-2.845746436007121,0.001658839701950,1
6.290101051330566,3.549999691163757,-0.850000315524854,1.549999820913878,-0.000040865976677,-0.000041736222053,-0.000023669671788,-0.004037353664590,-0.004120862066063,-0.002333872558743,-0.262888378661406,-0.267996529516161,-0.151357661493547,-2.845725511968892,0.002488047965819,1
6.300137996673584,3.549999029385941,-0.850000991165899,1.549999438035593,-0.000096027964725,-0.000098014361322,-0.000055511198052,-0.007082329300259,-0.007222973203070,-0.004083254927507,-0.342888498529325,-0.349111179958874,-0.196603593605915,-2.845696409678392,0.003306694829755,1
6.310043096542358,3.549997672255588,-0.850002375913733,1.549998654358460,-0.000184238522048,-0.000187937711216,-0.000106296173783,-0.010853721840590,-0.011060290543654,-0.006241020685497,-0.418039127959235,-0.425083018017478,-0.238689921448359,-2.845659686851814,0.004107501874158,1
6.320058345794678,3.549995211006288,-0.850004885751085,1.549997235879238,-0.000315064713251,-0.000321195260459,-0.000181414548855,-0.015403428162808,-0.015683528795587,-0.008833007515562,-0.490292221176935,-0.497893626887224,-0.278725654216417,-2.845614543145150,0.004910239843711,1
6.330060720443726,3.549991201564993,-0.850008971860652,1.549994929732234,-0.000494938110216,-0.000504258577867,-0.000284412293061,-0.020656556009923,-0.021014409359843,-0.011812539592289,-0.558883319742598,-0.566776241556932,-0.316294375482421,-2.845561413134916,0.005706049247965,1
6.340026617050171,3.549985151139188,-0.850015134200051,1.549991456647464,-0.000729538329360,-0.000742817025563,-0.000418373682586,-0.026549565478191,-0.026986427414535,-0.015139853212511,-0.623623290817620,-0.631550299173691,-0.351310311554896,-2.845500650895597,0.006491547644919,1
6.349971055984497,3.549976475091072,-0.850023965256348,1.549986486506082,-0.001025535198970,-0.001043549532500,-0.000586916547203,-0.033060642703965,-0.033575503934525,-0.018799007988518,-0.684830403483910,-0.692544240738270,-0.383964565001859,-2.845432198777731,0.007269314207356,1
6.360022544860840,3.549964379407517,-0.850036269292014,1.549979571719611,-0.001393408317323,-0.001416980317329,-0.000795781288004,-0.040240172102077,-0.040830460826252,-0.022814344568625,-0.743256479122889,-0.750511858496910,-0.414667240840489,-2.845355215711669,0.008048393831825,1
6.370019674301147,3.549948315002390,-0.850052599986621,1.549970407365765,-0.001833693715893,-0.001863517980694,-0.001045022686115,-0.047946059001551,-0.048605610608609,-0.027102545223398,-0.798037997754414,-0.804602793721126,-0.442976859874338,-2.845270921923669,0.008816504358365,1
6.380006313323975,3.549927477574137,-0.850073769194312,1.549958545267299,-0.002353164948244,-0.002389888806138,-0.001338211277265,-0.056175379566162,-0.056896100904771,-0.031658504400030,-0.849535175694649,-0.855183949798324,-0.469100736968455,-2.845179072783233,0.009577228074484,1
6.389987707138062,3.549901042195132,-0.850100608017409,1.549943528644143,-0.002957146881454,-0.003001329651026,-0.001678060637984,-0.064900583113173,-0.065672216335837,-0.036463389998215,-0.897863358035591,-0.902377972755691,-0.493115098420322,-2.845079689609319,0.010331067530975,1
6.400001525878906,3.549868039331718,-0.850134092485508,1.549924822038766,-0.003652520056840,-0.003704631017489,-0.002068120905589,-0.074117354838283,-0.074927600073278,-0.041511147389416,-0.943227015355265,-0.946392722865568,-0.515137120403278,-2.844972525798965,0.011080177855834,1
6.410003423690796,3.549827618589631,-0.850175075731615,1.549901961231045,-0.004442150838200,-0.004502503266915,-0.002509653710509,-0.083770437884841,-0.084604758332827,-0.046767861919980,-0.985560790513490,-0.987173311137581,-0.535151255832461,-2.844857928286611,0.011822394429654,1
6.419977426528931,3.549778979880574,-0.850224358108694,1.549874513704898,-0.005327384951305,-0.005396111178213,-0.003003054089122,-0.093798886776955,-0.094640750885901,-0.052196996379108,-1.024827496325589,-1.024695525982438,-0.553161722578381,-2.844736347134385,0.012555524501766,1
6.430002450942993,3.549720688621408,-0.850283380515929,1.549841693189602,-0.006319794390372,-0.006396921525041,-0.003554378669739,-0.104258103757123,-0.105089059321152,-0.057824981972108,-1.061419637224812,-1.059344033138772,-0.569366671769989,-2.844606818484662,0.013285648835636,1
6.439982652664185,3.549652253302238,-0.850352626452190,1.549803248982139,-0.007413632540399,-0.007498914236446,-0.004160023588167,-0.115020402432625,-0.115820228925525,-0.063579666655094,-1.095058566625128,-1.090865653720204,-0.583662755490371,-2.844470638882279,0.014005799090108,1
6.450105428695679,3.549571149711950,-0.850434633197567,1.549757793977636,-0.008634219856022,-0.008727341900133,-0.004833539204839,-0.126262961462917,-0.127008737375943,-0.069551825419727,-1.126403753103037,-1.119884987219733,-0.596342970389486,-2.844325238240887,0.014729282473947,1
6.460027694702148,3.549479055034146,-0.850527687648215,1.549706299792778,-0.009943282192703,-0.010043445223122,-0.005553368977622,-0.137583722905890,-0.138252784514997,-0.075524859836491,-1.154509237924103,-1.145541507263582,-0.607052979532967,-2.844175561854584,0.015432171205436,1
6.470019102096558,3.549372709637648,-0.850635065028802,1.549646977506977,-0.011375183753100,-0.011481537885798,-0.006337979882408,-0.149243068769483,-0.149809603789329,-0.081633667030890,-1.180224045930837,-1.168631192941389,-0.616154964675710,-2.844017953849869,0.016132751397664,1
6.480000257492065,3.549251501461340,-0.850757361273086,1.549579526122539,-0.012924485949941,-0.013035873145132,-0.007183872831501,-0.161144637781127,-0.161581677355925,-0.087824149113081,-1.203432217161288,-1.189059899700490,-0.623626638048137,-2.843853411282992,0.016826547627511,1
6.490014076232910,3.549113848388102,-0.850896148732313,1.549503109082324,-0.014598235663591,-0.014713229227349,-0.008094364262118,-0.173297532162189,-0.173576130769777,-0.094097666313671,-1.224257677967251,-1.206949962270302,-0.629532579241685,-2.843681519794849,0.017515457344036,1
6.499984502792358,3.548959363807789,-0.851051791547050,1.549417558696121,-0.016388579016569,-0.016505440489501,-0.009064645335494,-0.185606345021169,-0.185697066650045,-0.100401860043366,-1.242648599969862,-1.222273463985766,-0.633888833210452,-2.843503360053532,0.018195450849358,1
6.510001420974731,3.548785672214314,-0.851226653322237,1.549321612127231,-0.018310178173950,-0.018426283785445,-0.010101678579010,-0.198041155513555,-0.197735092174845,-0.106590417112611,-1.239774529377971,-1.180989592701330,-0.601600841566767,-2.843324149026835,0.017578188676745,1
6.519975662231445,3.548592981224516,-0.851420475910119,1.549215452602623,-0.020347150500937,-0.020456659768499,-0.011194261432076,-0.210389562069064,-0.209311490700335,-0.112432603697776,-1.236110341773999,-1.140336333244257,-0.569937111182273,-2.843151906118166,0.016958854820835,1
